collectorNumber,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_fr,supportAbility_fr,id,imagePath
BTG-001-H-FR,Sierra & Oddball,Axiom,Commun,Héros,0,0,,,,2,2,Lorsque vous jouez un Permanent de Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_01/JPG/fr_FR/d66890a9d2a85b86d9ebc323ee10fe83.jpg
BTG-001-H-FR,Sierra & Oddball,Axiom,Commun,Héros,0,0,,,,2,2,Lorsque vous jouez un Permanent de Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_01/JPG/fr_FR/d78b3e7de2cd94ebfc82d52dbb215d01.jpg
BTG-002-H-FR,Subhash & Marmo,Axiom,Commun,Héros,0,0,,,,2,2,À Midi — Vous pouvez payer {1} et mettre une carte de votre main en Réserve pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_03/JPG/fr_FR/7791fc854aecf695b83de3b6142e8084.jpg
BTG-002-H-FR,Subhash & Marmo,Axiom,Commun,Héros,0,0,,,,2,2,À Midi — Vous pouvez payer {1} et mettre une carte de votre main en Réserve pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_03/JPG/fr_FR/685ac001d7271fbefaefbd13eee58c21.jpg
BTG-003-H-FR,Treyst & Rossum,Axiom,Commun,Héros,0,0,,,,2,2,"Lorsqu'une carte quitte votre Réserve pendant l'Après-midi — Si j'ai moins de cinq compteurs Ferraille, je gagne un compteur Ferraille.  Si j'ai au moins cinq compteurs Ferraille, je gagne « {T} : Piochez une carte, puis mettez une carte de votre main en Réserve. »",,ALT_CORE_B_AX_02_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_02/JPG/fr_FR/7e5b29374278b12806fac1b987fc64b8.jpg
BTG-003-H-FR,Treyst & Rossum,Axiom,Commun,Héros,0,0,,,,2,2,"Lorsqu'une carte quitte votre Réserve pendant l'Après-midi — Si j'ai moins de cinq compteurs Ferraille, je gagne un compteur Ferraille.  Si j'ai au moins cinq compteurs Ferraille, je gagne « {T} : Piochez une carte, puis mettez une carte de votre main en Réserve. »",,ALT_COREKS_B_AX_02_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_02/JPG/fr_FR/a8ddcfbc6ec8d2466a3cca4a5c05c987.jpg
BTG-004-C-FR,Mécanicienne de la Fonderie,Axiom,Commun,Personnage,1,1,0,1,1,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/ba7cab9db2e76ff2740b522a56b43604.jpg
BTG-004-C-FR,Mécanicienne de la Fonderie,Axiom,Commun,Personnage,1,1,0,1,1,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_07/JPG/fr_FR/4086412f8ac9e630449e2bfd1616e236.jpg
BTG-004-R-FR,Mécanicienne de la Fonderie,Axiom,Rare,Personnage,1,1,#1#,1,#2#,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_07_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/2618480af017118dd8e59c033cfefa93.jpg
BTG-004-R-FR,Mécanicienne de la Fonderie,Axiom,Rare,Personnage,1,1,#1#,1,#2#,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_07_R1,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_07/JPG/fr_FR/bd4a53bbf67d6c2518eb357cdfe9a30d.jpg
BTG-004-F-FR,Mécanicienne de la Fonderie,Ordis,Rare,Personnage,1,1,#1#,1,#2#,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_07_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/9b5204c6ccd1f147022dfc26dc12fb6a.jpg
BTG-004-F-FR,Mécanicienne de la Fonderie,Ordis,Rare,Personnage,1,1,#1#,1,#2#,,,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_AX_07_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_AX_07/JPG/fr_FR/c36eaad6b0604b3214d7c954767d05a4.jpg
BTG-005-C-FR,Récupérateur Axiom,Axiom,Commun,Personnage,1,2,1,1,1,,,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/712714b01813f326b256aa70530bccfb.jpg
