collectorNumber,foiled,inMyTradelist,inMyCollection,inMyWantlist,name_en,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_en,supportAbility_en,abilities_fr,supportAbility_fr,id,imagePath
BTG-001-H-EN,False,0,2,False,Sierra & Oddball,Sierra & Oddball,Axiom,Common,Hero,,,,,,2,2,When you play a Permanent with Hand Cost {3} or more — You may exhaust me ({T}) to create a [Brassbug 2/2/2] Robot token in target Expedition.,,Lorsque vous jouez un Permanent de Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_01/JPG/en_US/e9cf4439f25391d9fc21300cce1bbe44.jpg
BTG-001-H-EN,False,0,1,False,Sierra & Oddball,Sierra & Oddball,Axiom,Common,Hero,,,,,,2,2,When you play a Permanent with Hand Cost {3} or more — You may exhaust me ({T}) to create a [Brassbug 2/2/2] Robot token in target Expedition.,,Lorsque vous jouez un Permanent de Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_COREKS_B_AX_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_01/JPG/en_US/6958dcd407c29a6fab4130f6dca88d2b.jpg
BTG-002-H-EN,False,0,1,False,Subhash & Marmo,Subhash & Marmo,Axiom,Common,Hero,,,,,,2,2,At Noon — You may pay {1} and put a card from your hand in Reserve to create a [Brassbug 2/2/2] Robot token in target Expedition.,,À Midi — Vous pouvez payer {1} et mettre une carte de votre main en Réserve pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,,ALT_CORE_B_AX_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_03/JPG/en_US/05ba21398ad2dce1eb30beccc957a1c2.jpg
BTG-003-H-EN,False,0,2,False,Treyst & Rossum,Treyst & Rossum,Axiom,Common,Hero,,,,,,2,2,"When a card leaves your Reserve during the Afternoon — If I have less than five Scrap counters, I gain a Scrap counter.  If I have five or more Scrap counters, I gain ""{T} : Draw a card, then put a card from your hand in Reserve.""",,"Lorsqu'une carte quitte votre Réserve pendant l'Après-midi — Si j'ai moins de cinq compteurs Ferraille, je gagne un compteur Ferraille.  Si j'ai au moins cinq compteurs Ferraille, je gagne « {T} : Piochez une carte, puis mettez une carte de votre main en Réserve. »",,ALT_CORE_B_AX_02_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_02/JPG/en_US/e8d562c8402df1d8ba79d70139706d11.jpg
BTG-004-C-EN,False,0,2,False,Foundry Mechanic,Mécanicienne de la Fonderie,Axiom,Common,Character,1,1,0,1,1,,,,{D} : The next Permanent you play this turn costs {1} less. (Discard me from Reserve to do this.),,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/en_US/c00690f154c2173bc26f6802812f5f3f.jpg
BTG-004-F-EN,False,0,1,False,Foundry Mechanic,Mécanicienne de la Fonderie,Ordis,Rare,Character,1,1,#1#,1,#2#,,,,{D} : The next Permanent you play this turn costs {1} less. (Discard me from Reserve to do this.),,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_AX_07_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/en_US/1892f5acf095f12ae21d434971245249.jpg
BTG-005-C-EN,False,0,1,False,Axiom Salvager,Récupérateur Axiom,Axiom,Common,Character,1,2,1,1,1,,,{R} [Resupply]. (Put the top card of your deck in Reserve.),,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_AX_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/JPG/en_US/3f97f3f54502ce702524e05aed7774a5.jpg
BTG-006-C-EN,False,0,1,False,Ada Lovelace,Ada Lovelace,Axiom,Common,Character,2,2,1,3,1,,,"{R} You may put a card from your hand in Reserve. If it's a Permanent, draw a card.",,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un Permanent, piochez une carte.",,ALT_CORE_B_AX_13_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_13/JPG/en_US/7104951bbacd35e201ac32a15084d66c.jpg
BTG-007-C-EN,False,0,2,False,Coppélia,Coppélia,Axiom,Common,Character,2,2,2,2,0,,,"When I go to Reserve from your hand — You may play me for free and I gain [[Asleep]]. (During Dusk, ignore my statistics. During Rest, I don't go to Reserve and I lose Asleep.)",,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_AX_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/en_US/1e5ff0c6f05a5204317d052a48d7b2b7.jpg
BTG-007-F-EN,False,0,2,False,Coppélia,Coppélia,Muna,Rare,Character,2,2,#3#,#3#,0,,,"When I go to Reserve from your hand — You may play me for free and I gain [[Asleep]]. (During Dusk, ignore my statistics. During Rest, I don't go to Reserve and I lose Asleep.)",,"Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_AX_14_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_14/JPG/en_US/6b016d0df1222728c5cc9f343019413e.jpg
