imagePath,name_fr,faction,rarity,type,inMyCollection,Kickstarter,to_give,to_get,progress,handCost,reserveCost,forestPower,mountainPower,waterPower,abilities_fr,supportAbility_fr,collectorNumber,id
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_01/JPG/fr_FR/d66890a9d2a85b86d9ebc323ee10fe83.jpg,Sierra & Oddball,Axiom,Commun,Héros,3,1,2,0,300.0,0,0,0,0,0,Lorsque vous jouez un Permanent de Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,nan,BTG-001-H-FR,ALT_CORE_B_AX_01_C / ALT_COREKS_B_AX_01_C
https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_03/JPG/fr_FR/7791fc854aecf695b83de3b6142e8084.jpg,Subhash & Marmo,Axiom,Commun,Héros,1,0,0,0,100.0,0,0,0,0,0,À Midi — Vous pouvez payer {1} et mettre une carte de votre main en Réserve pour créer un jeton Robot [2/2/2 Scarabot] dans une Expédition ciblée.,nan,BTG-002-H-FR,ALT_COREKS_B_AX_03_C / ALT_CORE_B_AX_03_C
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_02/JPG/fr_FR/7e5b29374278b12806fac1b987fc64b8.jpg,Treyst & Rossum,Axiom,Commun,Héros,2,0,1,0,200.0,0,0,0,0,0,"Lorsqu'une carte quitte votre Réserve pendant l'Après-midi — Si j'ai moins de cinq compteurs Ferraille, je gagne un compteur Ferraille.  Si j'ai au moins cinq compteurs Ferraille, je gagne « {T} : Piochez une carte, puis mettez une carte de votre main en Réserve. »",nan,BTG-003-H-FR,ALT_CORE_B_AX_02_C / ALT_COREKS_B_AX_02_C
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/ba7cab9db2e76ff2740b522a56b43604.jpg,Mécanicienne de la Fonderie,Axiom,Commun,Personnage,2,0,0,1,66.66666666666666,1,1,0,1,1,nan,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),BTG-004-C-FR,ALT_CORE_B_AX_07_C / ALT_COREKS_B_AX_07_C
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/9b5204c6ccd1f147022dfc26dc12fb6a.jpg,Mécanicienne de la Fonderie,Ordis,Rare,Personnage,1,0,0,2,33.33333333333333,1,1,1,1,2,nan,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),BTG-004-F-FR,ALT_COREKS_B_AX_07_R2 / ALT_CORE_B_AX_07_R2
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_07/JPG/fr_FR/2618480af017118dd8e59c033cfefa93.jpg,Mécanicienne de la Fonderie,Axiom,Rare,Personnage,0,0,0,0,0.0,1,1,1,1,2,nan,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),BTG-004-R-FR,ALT_CORE_B_AX_07_R1 / ALT_COREKS_B_AX_07_R1
https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/712714b01813f326b256aa70530bccfb.jpg,Récupérateur Axiom,Axiom,Commun,Personnage,1,0,0,2,33.33333333333333,1,2,1,1,1,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),nan,BTG-005-C-FR,ALT_CORE_B_AX_08_C / ALT_COREKS_B_AX_08_C
https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/8fd5ffff6b3728cfffdcc9627aadadd0.jpg,Récupérateur Axiom,Bravos,Rare,Personnage,0,0,0,0,0.0,1,2,1,1,1,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),nan,BTG-005-F-FR,ALT_COREKS_B_AX_08_R2 / ALT_CORE_B_AX_08_R2
https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_08/JPG/fr_FR/30f892a4a18147b5ee2eae9bb4c2e338.jpg,Récupérateur Axiom,Axiom,Rare,Personnage,0,0,0,0,0.0,1,1,1,1,0,{R} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),nan,BTG-005-R-FR,ALT_CORE_B_AX_08_R1 / ALT_COREKS_B_AX_08_R1
https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_AX_13/JPG/fr_FR/a8b444a7e8537a15342fac7b5be869cd.jpg,Ada Lovelace,Axiom,Commun,Personnage,1,0,0,2,33.33333333333333,2,2,1,3,1,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un Permanent, piochez une carte.",nan,BTG-006-C-FR,ALT_CORE_B_AX_13_C / ALT_COREKS_B_AX_13_C
